project,matches
Kubernetes/minikube,3241
github/policy-controller,1631
hashicorp/terraform-provider-aws,1053
microsoft/Qcodes,848
github/codeql-action,845
Kubernetes/release,711
spring-projects/spring-aot-smoke-tests,679
microsoft/mfcmapi,551
mozilla/neqo,546
dotnet/docs,513
pytorch/test-infra,512
apache/commons-net,477
apache/commons-daemon,468
apache/commons-validator,454
hashicorp/vault,445
alibaba/GraphScope,436
apache/commons-exec,434
nodejs/nodejs.org,432
apache/commons-email,431
apache/commons-csv,423
nodejs/node-addon-api,419
dotnet/docs-aspire,418
apache/commons-jcs,416
apache/commons-jexl,416
microsoft/TypeScript,400
apache/commons-imaging,396
aws/karpenter-provider-aws,393
apache/commons-jxpath,389
apache/commons-compress,385
apache/commons-fileupload,380
apache/commons-lang,376
microsoft/MHA,371
apache/commons-cli,367
hashicorp/terraform-cdk,366
apache/commons-vfs,366
apache/commons-codec,365
apache/commons-io,363
apache/commons-dbutils,362
alibaba/loongsuite-java-agent,362
apache/commons-logging,359
apache/commons-bsf,357
apache/commons-dbcp,356
apache/commons-pool,352
apache/commons-digester,341
apache/commons-bcel,335
apache/shiro,330
apache/commons-collections,324
aws/aws-cdk,322
apache/commons-jci,320
github/codeql,319
apache/commons-beanutils,318
Tencent/ncnn,313
huggingface/transformers,309
apache/commons-configuration,302
hashicorp/consul,300
elastic/apm-server,300
apache/lucenenet,277
nodejs/security-wg,271
aws/s2n-quic,269
hashicorp/terraform-provider-azurerm,265
apple/servicetalk,257
apache/cxf,252
hashicorp/terraform-provider-awscc,251
hashicorp/boundary,249
flutter/news_toolkit,249
pytorch/executorch,243
NVIDIA/cuda-quantum,241
hashicorp/terraform-provider-tfe,239
elastic/cloudbeat,239
huggingface/dataset-viewer,224
facebook/zstd,224
flutter/website,215
JetBrains/intellij-platform-gradle-plugin,215
hashicorp/cdktf-aws-cdk,211
microsoft/azure-devops-extension-tasks,210
Kubernetes/dashboard,208
aws/c3r,207
hashicorp/nomad,207
aws/eventbridge-kafka-connector,207
GoogleCloudPlatform/pgadapter,206
github/stale-repos,205
dotnet/dotnet-monitor,205
nodejs/undici,198
github/explore,196
github/evergreen,195
apache/avro,194
aws/jsii,190
GoogleCloudPlatform/cloud-learning-platform,187
pytorch/ignite,186
github/contributors,185
microsoft/MAPIStubLibrary,184
github/issue-metrics,183
huggingface/diffusers,178
github/cleanowners,178
google/guava,174
aws/constructs,172
tensorflow/io,171
mozilla/blurts-server,166
apache/camel,164
twbs/bootstrap,164
google/mtail,162
GoogleCloudPlatform/nodejs-docs-samples,162
hashicorp/terraform-cdk-action,154
NVIDIA/JAX-Toolbox,153
nodejs/docker-node,153
nodejs/doc-kit,147
Kubernetes/kops,145
flutter/io_flip,144
pytorch/botorch,144
elastic/apm-agent-python,144
aws/aws-database-encryption-sdk-dynamodb,143
nodejs/amaro,143
freeCodeCamp/freeCodeCamp,141
huggingface/optimum-intel,140
hashicorp/terraform-ls,139
apache/grails-core,138
github/opensource.guide,138
JetBrains/intellij-platform-plugin-template,137
elastic/beats,136
elastic/apm-agent-dotnet,136
microsoft/LightGBM,135
hashicorp/terraform-plugin-go,133
nrwl/nx,132
GoogleCloudPlatform/DataflowTemplates,132
elastic/apm-agent-nodejs,131
spring-projects/spring-boot,131
elastic/apm-agent-java,131
GoogleCloudPlatform/gke-policy-library,130
hashicorp/packer,128
apache/commons-ognl,128
GoogleCloudPlatform/functions-framework-dotnet,125
JetBrains/intellij-plugin-verifier,125
JetBrains/intellij-ui-test-robot,124
facebookresearch/xformers,122
nodejs/release-cloudflare-worker,121
elastic/apm-aws-lambda,120
hashicorp/terraform-plugin-sdk,119
github/vscode-codeql,118
rust-lang/rust-analyzer,118
flutter/platform_tests,115
elastic/elastic-agent,114
PaddlePaddle/Paddle,114
hashicorp/terraform-plugin-framework,114
aws/aws-cryptographic-material-providers-library,114
hashicorp/terraform-plugin-log,113
github/codeql-coding-standards,112
NVIDIA/cuda-python,111
apache/struts,111
aws/s2n-tls,110
hashicorp/hc-install,110
pytorch/rl,108
twitter/dodo,107
hashicorp/terraform-provider-azuread,106
pytorch/FBGEMM,106
hashicorp/terraform-plugin-mux,105
nodejs/llhttp,105
elastic/detection-rules,105
apache/directory-server,105
microsoft/ApplicationInsights-dotnet,104
pytorch/torchchat,104
apache/cxf-fediz,104
hashicorp/pandora,103
elastic/elastic-otel-java,103
elastic/docs-builder,103
apache/druid,102
apache/libcloud,102
huggingface/accelerate,102
Netflix/dgs-framework,102
hashicorp/terraform-plugin-framework-validators,101
GoogleCloudPlatform/cloud-foundation-toolkit,101
microsoft/ApplicationInsights-Java,101
dotnet/aspire,101
elastic/apm-agent-php,100
mozilla/fx-private-relay,99
redis/redis,99
huggingface/tokenizers,98
GoogleCloudPlatform/spring-cloud-gcp,96
hashicorp/ghaction-terraform-provider-release,96
dotnet/aspnetcore,96
GoogleCloudPlatform/functions-framework-dart,95
microsoft/DirectXMesh,95
hashicorp/terraform-plugin-testing,93
hashicorp/terraform-plugin-framework-timeouts,93
dotnet/csharpstandard,92
github/entitlements-github-plugin,92
elastic/elastic-otel-node,92
google/or-tools,91
google/gson,91
JetBrains/gradle-changelog-plugin,90
